Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,MTP
A1,Rag2KO Day 0,18s,UNKNOWN,SYBR,None,1,0.541800559,1.845697641,10.36389446,10.54757118,0.259758115,,-12.28297329,0.205493256,,,0,TRUE,198970.6959,TRUE,1,2,1,80.63621521,,,,N,N
A2,Rag2KO Day 0,18s,UNKNOWN,SYBR,None,1,0.541800559,1.845697641,10.7312479,10.54757118,0.259758115,,-12.28297329,0.205493256,,,0,TRUE,198970.6959,TRUE,1,2,1,80.63621521,,,,N,N
A3,Rag2KO Day 4 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,0.287108302,0.019260179,4.279876232,12.71661186,11.81414604,1.276279449,,-10.48264027,0.905929923,,,1.800333023,TRUE,198970.6959,TRUE,1,2,1,79.93135071,,,,Y,N
A4,Rag2KO Day 4 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,0.287108302,0.019260179,4.279876232,10.91168022,11.81414604,1.276279449,,-10.48264027,0.905929923,,,1.800333023,TRUE,198970.6959,TRUE,1,2,1,80.81243134,,,,Y,N
A5,Rag2KO Day 7 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,0.832762063,0.528326631,1.312620997,10.53906345,10.69160271,0.215723082,,-12.01894951,0.152574286,,,0.264023781,TRUE,198970.6959,TRUE,1,2,1,80.98864746,,,,N,N
A6,Rag2KO Day 7 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,0.832762063,0.528326631,1.312620997,10.84414196,10.69160271,0.215723082,,-12.01894951,0.152574286,,,0.264023781,TRUE,198970.6959,TRUE,1,2,1,81.16486359,,,,N,N
A7,H2O,18s,UNKNOWN,SYBR,None,3.85346E-05,4.65424E-08,0.031904504,36.42264938,38.66627121,3.17296052,,2.380514145,2.252887011,,,14.66348743,TRUE,198970.6959,TRUE,3,26,1,80.98864746,71.47297668,,,Y,Y
A8,H2O,18s,UNKNOWN,SYBR,None,3.85346E-05,4.65424E-08,0.031904504,40.90989304,38.66627121,3.17296052,,2.380514145,2.252887011,,,14.66348743,TRUE,198970.6959,TRUE,3,28,1,74.11621857,,,,Y,N
B1,Rag2KO Day 0,GAPDH,UNKNOWN,SYBR,None,1,0.755123496,1.324286699,17.90753555,17.92700768,0.027537739,,-4.903536797,0.094178058,,,0,TRUE,158960.2885,TRUE,3,10,1,83.27945709,,,,N,N
B2,Rag2KO Day 0,GAPDH,UNKNOWN,SYBR,None,1,0.755123496,1.324286699,17.9464798,17.92700768,0.027537739,,-4.903536797,0.094178058,,,0,TRUE,158960.2885,TRUE,3,8,1,83.27945709,,,,N,N
B3,Rag2KO Day 4 2 ng/ml IL-7,GAPDH,UNKNOWN,SYBR,None,0.835496366,0.438576818,1.591634989,17.85362816,17.65254402,0.284375906,,-4.644242287,0.216100171,,,0.25929451,TRUE,158960.2885,TRUE,3,9,1,83.45567322,,,,N,N
B4,Rag2KO Day 4 2 ng/ml IL-7,GAPDH,UNKNOWN,SYBR,None,0.835496366,0.438576818,1.591634989,17.45145988,17.65254402,0.284375906,,-4.644242287,0.216100171,,,0.25929451,TRUE,158960.2885,TRUE,3,8,1,84.16053772,,,,N,N
B5,Rag2KO Day 7 2 ng/ml IL-7,GAPDH,UNKNOWN,SYBR,None,1.250244498,1.046550035,1.493584991,17.54434586,17.48480606,0.084203333,,-5.225747108,0.059630431,,,-0.322210312,TRUE,158960.2885,TRUE,3,7,1,84.51296997,,,,N,N
B6,Rag2KO Day 7 2 ng/ml IL-7,GAPDH,UNKNOWN,SYBR,None,1.250244498,1.046550035,1.493584991,17.42526436,17.48480606,0.084203333,,-5.225747108,0.059630431,,,-0.322210312,TRUE,158960.2885,TRUE,3,9,1,84.51296997,,,,N,N
B7,H2O,GAPDH,UNKNOWN,SYBR,None,0.246907622,0.12753737,0.478003979,33.31414032,33.400177,0.12167424,,-2.885580063,0.221503168,,,2.017956734,TRUE,158960.2885,TRUE,3,21,1,76.58324432,,,,N,N
B8,H2O,GAPDH,UNKNOWN,SYBR,None,0.246907622,0.12753737,0.478003979,33.48621368,33.400177,0.12167424,,-2.885580063,0.221503168,,,2.017956734,TRUE,158960.2885,TRUE,3,23,1,76.05459595,84.51296997,,,N,Y
C1,Rag2KO Day 0,HIS3.3,UNKNOWN,SYBR,None,1,0.629102468,1.589566112,18.71231842,18.587183,0.176968217,,-4.243361473,0.155400187,,,0,TRUE,96203.30484,TRUE,3,9,1,82.22216034,,,,N,N
C2,Rag2KO Day 0,HIS3.3,UNKNOWN,SYBR,None,1,0.629102468,1.589566112,18.46204758,18.587183,0.176968217,,-4.243361473,0.155400187,,,0,TRUE,96203.30484,TRUE,3,10,1,82.39837646,,,,N,N
