Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD
A11,H2O,18s,NTC,SYBR,None,,,,35.47911072,38.73461151,,,,,,,,TRUE,97771.67046,TRUE,3,24,1,81.2280426,,,,N,N
A12,H2O,18s,NTC,SYBR,None,,,,41.9901123,38.73461151,,,,,,,,TRUE,97771.67046,TRUE,3,33,1,72.26931,,,,N,N
A1,Rag2KO Day 0,18s,UNKNOWN,SYBR,None,1,0.805433571,1.241567254,9.499904633,9.565986633,0.093454063,,-11.31716347,0.072551161,,,0,TRUE,97771.67046,TRUE,1,2,1,80.17407227,,,,N,N
A2,Rag2KO Day 0,18s,UNKNOWN,SYBR,None,1,0.805433571,1.241567254,9.632068634,9.565986633,0.093454063,,-11.31716347,0.072551161,,,0,TRUE,97771.67046,TRUE,1,2,1,80.17407227,,,,N,N
A3,Rag2KO Day 4 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,1.301809549,0.870568693,1.94666791,9.045679092,9.098215103,0.074297816,,-11.69768143,0.134914055,,,-0.380518436,TRUE,97771.67046,TRUE,1,2,1,80.34973145,,,,N,N
A4,Rag2KO Day 4 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,1.301809549,0.870568693,1.94666791,9.150752068,9.098215103,0.074297816,,-11.69768143,0.134914055,,,-0.380518436,TRUE,97771.67046,TRUE,1,2,1,80.52539063,,,,N,N
A9,Rag2KO Day 7 0.5 ng/ml IL-7,18s,UNKNOWN,SYBR,None,1.69091022,1.144558549,2.498061419,10.17223263,10.28173637,0.154861689,,-12.07496357,0.130851567,,,-0.757800102,TRUE,97771.67046,TRUE,1,2,1,81.40370178,,,,N,N
A10,Rag2KO Day 7 0.5 ng/ml IL-7,18s,UNKNOWN,SYBR,None,1.69091022,1.144558549,2.498061419,10.39124012,10.28173637,0.154861689,,-12.07496357,0.130851567,,,-0.757800102,TRUE,97771.67046,TRUE,1,2,1,81.40370178,,,,N,N
A7,Rag2KO Day 7 1 ng/ml IL-7,18s,UNKNOWN,SYBR,None,2.479814529,1.901109695,3.234678984,10.74781132,10.72873211,0.026982075,,-12.62739563,0.089105569,,,-1.310232162,TRUE,97771.67046,TRUE,1,2,1,81.2280426,,,,N,N
A8,Rag2KO Day 7 1 ng/ml IL-7,18s,UNKNOWN,SYBR,None,2.479814529,1.901109695,3.234678984,10.7096529,10.72873211,0.026982075,,-12.62739563,0.089105569,,,-1.310232162,TRUE,97771.67046,TRUE,1,2,1,81.2280426,,,,N,N
A5,Rag2KO Day 7 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,1.614688158,0.999848962,2.607611656,9.878008842,10.03763866,0.225750655,,-12.00841904,0.160708636,,,-0.691255569,TRUE,97771.67046,TRUE,1,2,1,80.87671661,,,,N,N
A6,Rag2KO Day 7 2 ng/ml IL-7,18s,UNKNOWN,SYBR,None,1.614688158,0.999848962,2.607611656,10.19726849,10.03763866,0.225750655,,-12.00841904,0.160708636,,,-0.691255569,TRUE,97771.67046,TRUE,1,2,1,80.87671661,,,,N,N
D11,H2O,Bach2,UNKNOWN,SYBR,None,5.600189209,1.160265326,27.03012466,36.40077972,35.93228531,0.662551165,,-0.667684555,0.527818739,,,-2.48547554,TRUE,201292.2098,TRUE,3,28,1,77.53915405,,,,N,Y
D12,H2O,Bach2,UNKNOWN,SYBR,None,5.600189209,1.160265326,27.03012466,35.46379089,35.93228531,0.662551165,,-0.667684555,0.527818739,,,-2.48547554,TRUE,201292.2098,TRUE,3,28,1,77.71481323,,,,N,Y
D1,Rag2KO Day 0,Bach2,UNKNOWN,SYBR,None,1,0.666571379,1.500214458,22.56827736,22.70094109,0.187614843,,1.817790985,0.136001855,,,0,TRUE,201292.2098,TRUE,3,13,1,79.82275391,,,,N,N
D2,Rag2KO Day 0,Bach2,UNKNOWN,SYBR,None,1,0.666571379,1.500214458,22.83360481,22.70094109,0.187614843,,1.817790985,0.136001855,,,0,TRUE,201292.2098,TRUE,3,10,1,80.17407227,,,,N,N
D3,Rag2KO Day 4 2 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,1.743699789,1.186314821,2.562969923,21.84670258,21.81153679,0.049731933,,1.015639305,0.129144698,,,-0.80215168,TRUE,201292.2098,TRUE,3,8,1,80.52539063,,,,N,N
D4,Rag2KO Day 4 2 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,1.743699789,1.186314821,2.562969923,21.776371,21.81153679,0.049731933,,1.015639305,0.129144698,,,-0.80215168,TRUE,201292.2098,TRUE,3,12,1,80.52539063,,,,N,N
D9,Rag2KO Day 7 0.5 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,14.8084774,4.670351982,46.95384979,20.66637993,20.28614044,0.537741184,,-2.070560455,0.386928737,,,-3.88835144,TRUE,201292.2098,TRUE,3,9,1,80.87671661,,,,N,Y
D10,Rag2KO Day 7 0.5 ng/ml IL-7,Bach2,UNKNOWN,SYBR,None,14.8084774,4.670351982,46.95384979,19.90589905,20.28614044,0.537741184,,-2.070560455,0.386928737,,,-3.88835144,TRUE,201292.2098,TRUE,3,9,1,81.40370178,,,,N,Y
